index,row,col,filename,left,top,right,bottom,width,height,stride_x,stride_y,overlap_x_px,overlap_y_px,overlap_x_ratio,overlap_y_ratio
1,1,1,tile_r01_c01_01.png,0,0,312,332,312,332,248,266,64,66,0.205128,0.198795
2,1,2,tile_r01_c02_02.png,248,0,560,332,312,332,248,266,64,66,0.205128,0.198795
3,1,3,tile_r01_c03_03.png,496,0,808,332,312,332,248,266,64,66,0.205128,0.198795
4,1,4,tile_r01_c04_04.png,744,0,1056,332,312,332,248,266,64,66,0.205128,0.198795
5,1,5,tile_r01_c05_05.png,992,0,1304,332,312,332,248,266,64,66,0.205128,0.198795
6,1,6,tile_r01_c06_06.png,1240,0,1552,332,312,332,248,266,64,66,0.205128,0.198795
7,1,7,tile_r01_c07_07.png,1488,0,1800,332,312,332,248,266,64,66,0.205128,0.198795
8,1,8,tile_r01_c08_08.png,1736,0,2048,332,312,332,248,266,64,66,0.205128,0.198795
9,2,1,tile_r02_c01_09.png,0,266,312,598,312,332,248,266,64,66,0.205128,0.198795
10,2,2,tile_r02_c02_10.png,248,266,560,598,312,332,248,266,64,66,0.205128,0.198795
11,2,3,tile_r02_c03_11.png,496,266,808,598,312,332,248,266,64,66,0.205128,0.198795
12,2,4,tile_r02_c04_12.png,744,266,1056,598,312,332,248,266,64,66,0.205128,0.198795
13,2,5,tile_r02_c05_13.png,992,266,1304,598,312,332,248,266,64,66,0.205128,0.198795
14,2,6,tile_r02_c06_14.png,1240,266,1552,598,312,332,248,266,64,66,0.205128,0.198795
15,2,7,tile_r02_c07_15.png,1488,266,1800,598,312,332,248,266,64,66,0.205128,0.198795
16,2,8,tile_r02_c08_16.png,1736,266,2048,598,312,332,248,266,64,66,0.205128,0.198795
17,3,1,tile_r03_c01_17.png,0,532,312,864,312,332,248,266,64,66,0.205128,0.198795
18,3,2,tile_r03_c02_18.png,248,532,560,864,312,332,248,266,64,66,0.205128,0.198795
19,3,3,tile_r03_c03_19.png,496,532,808,864,312,332,248,266,64,66,0.205128,0.198795
20,3,4,tile_r03_c04_20.png,744,532,1056,864,312,332,248,266,64,66,0.205128,0.198795
21,3,5,tile_r03_c05_21.png,992,532,1304,864,312,332,248,266,64,66,0.205128,0.198795
22,3,6,tile_r03_c06_22.png,1240,532,1552,864,312,332,248,266,64,66,0.205128,0.198795
23,3,7,tile_r03_c07_23.png,1488,532,1800,864,312,332,248,266,64,66,0.205128,0.198795
24,3,8,tile_r03_c08_24.png,1736,532,2048,864,312,332,248,266,64,66,0.205128,0.198795
25,4,1,tile_r04_c01_25.png,0,798,312,1130,312,332,248,266,64,66,0.205128,0.198795
26,4,2,tile_r04_c02_26.png,248,798,560,1130,312,332,248,266,64,66,0.205128,0.198795
27,4,3,tile_r04_c03_27.png,496,798,808,1130,312,332,248,266,64,66,0.205128,0.198795
28,4,4,tile_r04_c04_28.png,744,798,1056,1130,312,332,248,266,64,66,0.205128,0.198795
29,4,5,tile_r04_c05_29.png,992,798,1304,1130,312,332,248,266,64,66,0.205128,0.198795
30,4,6,tile_r04_c06_30.png,1240,798,1552,1130,312,332,248,266,64,66,0.205128,0.198795
31,4,7,tile_r04_c07_31.png,1488,798,1800,1130,312,332,248,266,64,66,0.205128,0.198795
32,4,8,tile_r04_c08_32.png,1736,798,2048,1130,312,332,248,266,64,66,0.205128,0.198795
33,5,1,tile_r05_c01_33.png,0,1064,312,1396,312,332,248,266,64,66,0.205128,0.198795
34,5,2,tile_r05_c02_34.png,248,1064,560,1396,312,332,248,266,64,66,0.205128,0.198795
35,5,3,tile_r05_c03_35.png,496,1064,808,1396,312,332,248,266,64,66,0.205128,0.198795
36,5,4,tile_r05_c04_36.png,744,1064,1056,1396,312,332,248,266,64,66,0.205128,0.198795
37,5,5,tile_r05_c05_37.png,992,1064,1304,1396,312,332,248,266,64,66,0.205128,0.198795
38,5,6,tile_r05_c06_38.png,1240,1064,1552,1396,312,332,248,266,64,66,0.205128,0.198795
39,5,7,tile_r05_c07_39.png,1488,1064,1800,1396,312,332,248,266,64,66,0.205128,0.198795
40,5,8,tile_r05_c08_40.png,1736,1064,2048,1396,312,332,248,266,64,66,0.205128,0.198795
